17.89, 14.03, 7.97, 4.12, 3.01, 2.74, 3.56, 3.46, 3.05, 2.68, 2.41, 2025-02-16
18.90, 15.01, 8.90, 5.01, 3.90, 3.62, 4.46, 3.62, 3.28, 2.89, 2.62, 2025-02-17
21.91, 17.92, 11.65, 7.67, 6.53, 6.24, 7.10, 6.24, 5.11, 4.70, 4.42, 2025-02-18
21.91, 17.92, 11.65, 7.67, 6.53, 6.24, 7.10, 6.24, 5.11, 4.70, 4.42, 2025-02-19
19.72, 15.81, 9.65, 5.74, 4.06, 4.34, 4.93, 4.18, 3.56, N/A, 2.91, 2025-02-20
18.26, 14.39, 8.31, 4.44, 2.79, 3.06, 5.00, 4.21, 3.45, N/A, 3.08, 2025-02-21
18.96, 15.07, 10.07, 5.07, 6.06, 5.42, 4.51, 5.08, 4.59, N/A, 3.75, 2025-02-22
18.96, 15.07, 10.07, 5.07, 6.06, 5.42, 4.51, 5.08, 4.59, N/A, 3.75, 2025-02-23
22.21, 14.99, 11.10, 5.54, 5.18, 5.20, 4.43, 4.20, 3.72, N/A, N/A, 2025-02-25
23.10, 15.83, 10.79, 6.17, 4.79, 4.01, 3.97, 3.95, 3.46, 3.20, 2.91, 2025-02-26
25.37, 17.96, 12.84, 7.07, 6.81, 5.97, 5.54, 5.72, 5.31, 4.06, 3.77, 2025-03-01
24.04, 16.71, 11.64, 5.93, 5.68, 3.77, 4.41, N/A, 4.19, 2.95, 2.66, 2025-03-02
24.16, 16.82, 11.74, 7.00, 4.83, 4.05, N/A, 4.63, 3.47, 3.23, 2.94, 2025-03-03
26.09, 18.64, 12.33, 7.64, 5.33, 4.74, 4.60, 7.17, 4.08, 3.72, N/A, 2025-03-05
20.77, 13.76, 8.57, 7.30, 5.10, 4.40, 4.26, 4.34, 3.73, 3.48, 3.19, 2025-03-06
20.69, 13.71, 8.51, 7.31, 5.03, 4.41, 4.26, 4.35, 3.74, 3.42, 3.13, 2025-03-07
20.59, 13.60, 8.39, 7.77, 4.92, 4.85, 4.71, 4.80, 4.19, 3.30, 3.01, 2025-03-07
20.60, 13.61, 8.40, 7.68, 4.92, 4.76, 4.62, 4.71, 4.10, 3.31, 3.02, 2025-03-08
20.84, 13.86, 8.65, 7.41, 5.16, 4.49, 4.34, 4.43, 3.82, 3.53, 3.24, 2025-03-10
20.77, 13.79, 8.57, 7.31, 5.08, 4.38, 4.24, 4.33, 3.71, 3.45, 3.16, 2025-03-11
20.89, 13.89, 8.67, 7.42, 5.18, 4.50, 4.36, 4.44, 3.83, 3.56, 3.27, 2025-03-12
20.51, 13.56, 8.40, 7.18, 4.95, 4.30, 4.16, 4.25, 3.65, 3.35, 3.06, 2025-03-13
20.43, 13.50, 8.37, 7.12, 4.92, 4.24, 4.11, N/A, 3.59, 3.32, 3.03, 2025-03-14
20.31, 13.38, 8.25, 7.29, 4.81, 4.41, 4.27, N/A, 3.76, 3.21, 2.92, 2025-03-15
20.55, 13.61, 8.47, 7.21, 5.03, 4.34, 4.18, N/A, 3.68, 3.42, 3.14, 2025-03-17
20.60, 13.69, 8.56, 7.28, 5.12, 3.47, 4.28, N/A, 3.73, 3.53, 3.24, 2025-03-18
20.32, 13.44, 8.34, 7.09, 4.91, 3.27, 4.08, 4.18, 3.35, 3.33, 3.04, 2025-03-19
20.18, 13.32, 8.23, 7.67, 4.81, 4.04, 3.97, 4.77, 2.99, 3.22, 2.94, 2025-03-23
